Date,Open,High,Low,Close,Adj Close,Volume
2015-07-30,14.0,14.0,10.71,10.89,10.89,5015600
2015-07-31,10.6,10.78,9.2,10.0,10.0,873000
2015-08-03,10.06,10.5,9.89,10.0,10.0,311500
2015-08-04,10.0,10.3,10.0,10.04,10.04,153600
2015-08-05,10.3,10.3,9.86,10.0,10.0,210500
2015-08-06,10.23,10.23,9.37,9.5,9.5,140700
2015-08-07,9.33,9.41,8.31,8.91,8.91,177500
2015-08-10,9.33,9.547,8.33,8.43,8.43,141200
2015-08-11,8.3,8.941,7.66,7.88,7.88,93100
2015-08-12,7.98,8.22,7.42,7.7,7.7,174700
2015-08-13,7.7,8.249,7.7,8.0,8.0,47800
2015-08-14,7.8,8.2,7.8,8.03,8.03,36100
2015-08-17,7.9,8.99,7.82,8.97,8.97,80300
2015-08-18,8.99,10.24,8.7,10.02,10.02,131100
2015-08-19,10.0,10.299,9.57,10.08,10.08,126500
2015-08-20,10.14,10.35,9.831,9.925,9.925,58500
2015-08-21,9.92,9.92,8.72,8.85,8.85,40000
2015-08-24,7.95,9.84,7.5,8.84,8.84,92600
2015-08-25,9.33,9.33,8.05,8.39,8.39,80200
2015-08-26,8.8,9.07,8.22,8.97,8.97,41800
2015-08-27,8.8,9.492,8.47,8.91,8.91,16700
2015-08-28,8.86,9.8,8.86,9.42,9.42,43100
2015-08-31,9.21,9.96,8.46,8.72,8.72,71300
2015-09-01,8.65,9.495,8.521,8.97,8.97,45600
2015-09-02,9.16,9.404,8.27,8.97,8.97,229500
2015-09-03,9.0,9.79,9.0,9.5,9.5,59000
2015-09-04,9.19,9.8,9.1,9.32,9.32,32100
2015-09-08,9.72,10.0,9.1,9.64,9.64,48900
2015-09-09,9.94,9.94,9.09,9.22,9.22,22500
2015-09-10,9.05,9.67,8.9,8.96,8.96,45600
2015-09-11,8.55,9.5,8.54,9.21,9.21,47400
2015-09-14,8.72,9.22,8.72,9.08,9.08,17800
2015-09-15,9.03,9.42,8.8,9.025,9.025,42700
2015-09-16,8.77,9.39,8.632,9.28,9.28,195500
2015-09-17,9.32,9.8,9.1,9.33,9.33,162300
2015-09-18,9.35,9.43,7.56,7.56,7.56,318800
2015-09-21,7.77,8.13,7.03,7.23,7.23,220600
2015-09-22,7.09,7.28,6.15,7.28,7.28,314000
2015-09-23,7.03,7.43,6.51,7.15,7.15,51800
2015-09-24,7.09,7.25,6.59,6.78,6.78,100800
2015-09-25,6.79,6.8,6.272,6.44,6.44,100000
2015-09-28,6.44,6.7,5.27,6.48,6.48,143900
2015-09-29,6.46,6.96,6.35,6.86,6.86,57900
2015-09-30,7.0,7.42,6.48,6.52,6.52,642700
2015-10-01,6.6,6.64,5.815,6.27,6.27,96700
2015-10-02,6.17,6.99,5.721,6.75,6.75,87600
2015-10-05,6.85,7.15,6.39,7.06,7.06,31100
2015-10-06,7.06,7.06,6.5,6.69,6.69,72400
2015-10-07,6.64,8.05,6.525,7.93,7.93,98500
2015-10-08,7.77,7.77,7.03,7.5,7.5,43000
2015-10-09,7.53,7.87,7.014,7.07,7.07,19400
2015-10-12,7.12,7.23,6.85,6.99,6.99,24800
2015-10-13,6.95,7.32,6.7,6.75,6.75,17600
2015-10-14,6.83,6.98,6.48,6.87,6.87,19200
2015-10-15,6.93,7.6,6.55,7.47,7.47,20100
2015-10-16,7.51,8.13,7.345,8.12,8.12,32900
2015-10-19,8.03,8.13,7.178,8.03,8.03,23200
2015-10-20,7.98,8.22,7.3,7.92,7.92,70000
2015-10-21,7.98,8.045,7.408,7.84,7.84,27200
2015-10-22,7.86,8.079,7.07,7.42,7.42,34100
2015-10-23,7.46,7.83,7.46,7.65,7.65,16100
2015-10-26,7.65,7.86,7.42,7.53,7.53,50700
2015-10-27,7.59,7.83,6.82,7.16,7.16,146200
2015-10-28,7.59,7.835,7.1,7.49,7.49,49400
2015-10-29,7.44,7.81,7.036,7.21,7.21,57500
2015-10-30,7.23,7.8,7.01,7.34,7.34,51500
2015-11-02,7.29,7.58,7.16,7.33,7.33,23400
2015-11-03,7.11,7.53,7.04,7.18,7.18,24900
2015-11-04,7.18,7.43,7.041,7.43,7.43,12900
2015-11-05,7.38,7.61,7.15,7.51,7.51,21600
2015-11-06,7.75,7.75,7.0,7.09,7.09,27800
2015-11-09,7.13,7.58,6.6,7.43,7.43,44100
2015-11-10,7.38,7.4,6.76,7.29,7.29,30000
2015-11-11,7.01,7.28,6.77,7.1,7.1,20900
2015-11-12,6.99,7.15,6.825,6.93,6.93,25100
2015-11-13,7.0,7.18,6.579,6.68,6.68,35400
2015-11-16,6.63,6.79,6.59,6.69,6.69,21000
2015-11-17,6.57,6.69,6.1,6.18,6.18,44000
2015-11-18,6.54,6.78,6.21,6.76,6.76,42700
2015-11-19,6.7,6.9,6.2,6.44,6.44,46500
2015-11-20,6.49,6.85,6.36,6.54,6.54,24400
2015-11-23,6.48,6.84,6.25,6.58,6.58,41600
