Date,Open,High,Low,Close,Volume,Change
2018-03-28,20250,26325,20250,26326,274705,
2018-03-29,24807,33109,24300,29617,3067401,0.12500949631542957
2018-03-30,30831,32654,28755,29110,570467,-0.017118546780565236
2018-04-02,28907,30325,26528,27085,182930,-0.0695637238062522
2018-04-03,26832,30122,26832,28402,319225,0.04862470001846031
2018-04-04,29363,29414,27490,27490,99792,-0.03211041475952403
2018-04-05,27743,28350,27388,27743,76496,0.009203346671516899
2018-04-06,27388,27895,25920,25971,68583,-0.06387196770356485
2018-04-09,26123,26173,24477,25136,79378,-0.03215124562011473
2018-04-10,25313,25313,23414,23719,102590,-0.05637332908975179
2018-04-11,23794,30831,23693,29617,731649,0.2486614106834184
2018-04-12,29009,29464,26629,26933,274843,-0.09062362832157211
2018-04-13,27085,28198,25971,26478,188217,-0.016893773437790083
2018-04-16,26629,26730,25313,25465,90429,-0.038258176599441085
2018-04-17,25161,30122,24705,27946,458538,0.09742784213626554
2018-04-18,27945,29110,26933,29009,127676,0.03803764402776788
2018-04-19,29009,31084,28705,30022,174039,0.03492019718018535
2018-04-20,29464,30780,28705,30427,92520,0.013490107254679806
2018-04-23,29819,32755,29363,30123,178755,-0.00999112630229726
2018-04-24,30882,31692,30122,30173,81360,0.0016598612356006903
2018-04-25,29414,31135,29059,30983,86049,0.026845192721969946
2018-04-26,31185,31540,29616,29667,65344,-0.042474905593389956
2018-04-27,29515,29667,28350,29060,78792,-0.020460444264671196
2018-04-30,27895,28249,26528,27338,167670,-0.05925671025464552
2018-05-02,26882,26933,25287,26123,130377,-0.0444436315750969
2018-05-03,25920,27186,25819,26478,61323,0.01358955709527998
2018-05-04,26072,27085,25617,26123,47903,-0.013407357051136826
2018-05-08,25971,26832,25009,25010,39895,-0.04260613252689205
2018-05-09,25566,25566,23794,24605,37641,-0.016193522590963627
2018-05-10,25009,25060,24376,24655,14698,0.002032107295265151
2018-05-11,24832,26275,24832,25263,32961,0.02466031230987631
2018-05-14,25363,25465,24123,24174,34145,-0.04310651941574639
2018-05-15,24731,24933,24148,24250,14981,0.0031438735831885722
2018-05-16,24528,24528,23288,23491,30331,-0.031298969072164895
2018-05-17,23490,23971,22655,22782,32668,-0.030181771742369468
2018-05-18,23186,23338,22528,22934,16153,0.006671933982969058
2018-05-21,23085,23895,22933,23592,22541,0.0286910264236504
2018-05-23,23971,24174,23338,23643,16035,0.002161749745676511
2018-05-24,24123,24123,22756,22959,21320,-0.028930338789493693
2018-05-25,22984,22984,21744,21769,44456,-0.05183152576331718
