Date,Open,High,Low,Close,Volume,Change
2018-11-21,20794,23908,20401,22764,9972949,
2018-11-22,22226,28490,21904,25234,8569194,0.10850465647513619
2018-11-23,26020,26951,23801,24625,3591452,-0.02413410477926603
2018-11-26,24589,25877,23693,25735,2119487,0.045076142131979635
2018-11-27,25591,27881,25447,27309,2883983,0.061161841849621146
2018-11-28,27595,30494,27308,29349,4192012,0.07470064813797639
2018-11-29,29491,30673,28096,28562,2086296,-0.026815223687348788
2018-11-30,28668,29277,28275,28634,747539,0.002520831874518681
2018-12-03,29491,29993,27273,27703,1431690,-0.03251379478941119
2018-12-04,28275,28561,26020,26128,1476352,-0.05685304840630978
2018-12-05,25304,27273,24982,26486,1205607,0.013701775872626998
2018-12-06,26700,27201,24731,24768,957854,-0.06486445669410257
2018-12-07,25161,26270,23837,25376,1048511,0.02454780361757103
2018-12-10,24839,26055,24517,25735,578938,0.014147225725094525
2018-12-11,25948,26091,24982,25305,447174,-0.016708762385855835
2018-12-12,25447,26199,25268,26200,597141,0.035368504248172394
2018-12-13,26091,26306,25591,25735,374697,-0.017748091603053462
2018-12-14,25734,25734,23801,23945,719726,-0.0695550806294929
2018-12-17,23980,24087,21868,22012,885869,-0.0807266652745876
2018-12-18,21474,22619,21117,21976,529950,-0.0016354715609667725
2018-12-19,21832,23980,21761,23837,800093,0.08468329086275928
2018-12-20,23443,25662,23120,25269,1081870,0.06007467382640441
2018-12-21,24803,28346,24731,27202,2662585,0.0764968934267285
2018-12-24,26843,28132,26843,27309,977339,0.003933534298948604
2018-12-26,26843,28848,26521,27846,1419928,0.019663847083379205
2018-12-27,28633,29706,28060,28061,762073,0.007721037132801811
2018-12-28,28418,29205,27273,28634,806480,0.020419799722034115
2019-01-02,28633,30888,28275,28992,1358395,0.012502619263812242
2019-01-03,28955,29098,26199,26200,1034584,-0.0963024282560706
2019-01-04,26450,26986,25483,26844,677990,0.02458015267175573
2019-01-07,27416,27666,24875,25448,1022005,-0.052004172254507486
2019-01-08,25304,25591,24016,24840,617586,-0.02389185790631876
2019-01-09,24875,25554,24087,25376,534784,0.02157809983896941
2019-01-10,25412,25769,25090,25090,203807,-0.01127049180327866
2019-01-11,25376,25841,24910,25162,270462,0.0028696691909126937
2019-01-14,25090,25125,23586,23981,513552,-0.0469358556553533
2019-01-15,23944,24338,23622,24017,275167,0.0015011884408488996
2019-01-16,24087,24194,22619,23837,580751,-0.007494691260357289
2019-01-17,23693,24803,23264,23408,490949,-0.01799723119520069
2019-01-18,23622,24481,23121,24338,383320,0.03973000683526995
2019-01-21,24338,24338,23300,23336,258219,-0.04117018653956772
2019-01-22,23479,24624,23084,24017,492536,0.02918237915666788
2019-01-23,23729,24767,23729,23837,376106,-0.007494691260357289
2019-01-24,23872,24123,23479,23909,262572,0.0030205143264672163
2019-01-25,23944,24123,23550,23909,237208,0.0
2019-01-28,24052,25340,23908,24625,633698,0.029946881927307656
2019-01-29,24695,25197,24517,24733,221745,0.0043857868020305
2019-01-30,25017,25304,24230,24697,284140,-0.0014555452229814136
2019-01-31,24803,25340,24731,25197,314558,0.0202453739320565
2019-02-01,25412,25769,24731,25627,313028,0.017065523673453153
2019-02-07,25447,26592,25161,26272,412233,0.025168767315721707
2019-02-08,26128,27129,26055,26880,416056,0.023142509135200884
2019-02-11,27380,27810,26736,26951,521102,0.0026413690476190244
2019-02-12,26879,27058,25627,25771,508548,-0.043783162034803924
2019-02-13,25948,26270,25662,25985,282948,0.008303907492918317
2019-02-14,26020,26128,25090,25126,335923,-0.03305753319222626
2019-02-15,25161,25662,25125,25269,162373,0.00569131576852655
2019-02-18,25554,26128,25197,25878,290872,0.024100676718508796
2019-02-19,26055,26485,25877,26128,312940,0.00966071566581661
2019-02-20,26199,26485,25698,26486,257817,0.013701775872626998
2019-02-21,26915,26951,26306,26379,272755,-0.00403987012006346
2019-02-22,26378,26414,25591,25771,209055,-0.023048637173509245
2019-02-25,25948,25984,25125,25520,268051,-0.009739629816460371
2019-02-26,25591,25662,25090,25126,258812,-0.01543887147335421
2019-02-27,25340,26091,25268,26021,281593,0.0356204728170022
2019-02-28,26378,26951,25519,25771,884899,-0.009607624610891152
2019-03-04,26951,27989,26736,27989,1149469,0.08606573280043461
2019-03-05,28418,29850,28096,29529,1473982,0.05502161563471364
2019-03-06,29993,30172,28597,29421,1043611,-0.003657421517829884
2019-03-07,29063,29456,27380,27703,965999,-0.05839366438938176
2019-03-08,27559,29098,27559,28812,790611,0.04003176551276044
2019-03-11,28812,29241,28132,29242,573247,0.014924337081771544
2019-03-12,29349,32212,29170,32213,2723481,0.1016004377265578
2019-03-13,31854,32821,31066,32213,1355475,0.0
2019-03-14,33286,33429,30744,31676,1164126,-0.01667028839288487
2019-03-15,31461,32570,30028,31210,1838691,-0.014711453466346724
2019-03-18,31639,32391,30602,31390,1084636,0.005767382249278974
2019-03-19,31962,33537,28990,29493,2314810,-0.06043325899968144
2019-03-20,29313,30064,28633,30065,730863,0.019394432577221732
2019-03-21,30172,30208,28239,28383,848981,-0.05594545152170294
2019-03-22,28526,29063,27917,28598,481632,0.007574956840362246
2019-03-25,27881,28346,27058,27453,528167,-0.04003776487866284
2019-03-26,27810,29134,27630,28562,601681,0.04039631369977781
2019-03-27,28812,28955,27129,27131,403136,-0.05010153350605695
2019-03-28,27165,27845,26736,27381,334172,0.009214551619918243
2019-03-29,27523,28346,27093,28240,354502,0.031372119352836014
2019-04-01,27702,28060,27380,27918,296059,-0.011402266288951801
2019-04-02,28239,28597,27452,27560,284703,-0.012823268142417077
2019-04-03,27416,27953,27416,27774,228350,0.007764876632801121
2019-04-04,27810,27917,26807,27131,422425,-0.023151148556203593
2019-04-05,26879,27129,25519,25735,805248,-0.05145405624562305
2019-04-08,25769,26557,25591,25913,306713,0.006916650476005426
2019-04-09,25984,26235,25340,26235,282345,0.012426195345965452
2019-04-10,26235,27308,25769,26665,446869,0.016390318277110794
2019-04-11,26665,26986,26306,26772,179509,0.004012750796924758
2019-04-12,26951,27344,26592,26880,256221,0.004034065441506085
2019-04-15,27022,27093,26091,26701,290545,-0.0066592261904762085
2019-04-16,26807,26807,25877,26200,235946,-0.01876334219692144
2019-04-17,26342,26521,25698,25949,239573,-0.009580152671755715
2019-04-18,25698,25769,24875,24875,325854,-0.041388878184130395
2019-04-19,24910,25734,24910,25341,209175,0.01873366834170853
2019-04-22,25340,26020,25340,25663,180657,0.012706680872893727
2019-04-23,25627,26055,25483,25591,122831,-0.002805595604566835
2019-04-24,25698,26055,25412,25591,122912,0.0
2019-04-25,25447,25627,25090,25269,133052,-0.012582548552225403
2019-04-26,25125,25447,24695,25055,155551,-0.008468874906011337
2019-04-29,25054,25554,24875,25305,98871,0.009978048293753705
2019-04-30,25232,26235,25232,26093,234678,0.031140090891128125
2019-05-02,26091,26521,25805,26057,198136,-0.0013796803740466768
2019-05-03,26020,26235,25591,25771,142951,-0.01097593736807767
2019-05-07,25340,26557,24910,26272,361172,0.019440456326879074
2019-05-08,26128,27738,26128,26987,690007,0.027215286236297098
2019-05-09,27129,27380,25412,25556,384197,-0.05302553081113126
2019-05-10,25841,26235,24946,25484,322677,-0.002817342307090298
2019-05-13,25232,25376,23801,23802,374237,-0.06600219745722802
2019-05-14,23014,24194,22906,23659,226802,-0.006007898495924757
2019-05-15,23765,24374,23156,23659,256490,0.0
2019-05-16,23980,24230,23443,23802,143515,0.006044211505135566
2019-05-17,24052,24589,23693,23909,152970,0.004495420552894647
2019-05-20,23980,24517,23837,24231,240285,0.013467731816470874
2019-05-21,24123,24910,24123,24196,204126,-0.0014444306879617397
2019-05-22,24481,25054,24159,25055,306249,0.03550173582410321
2019-05-23,25554,25554,24159,24518,308792,-0.021432847734982996
2019-05-24,24875,25090,24194,24697,217107,0.007300758626315407
2019-05-27,24695,24875,23622,24303,231297,-0.015953354658460595
2019-05-28,24266,24338,22906,23193,695385,-0.04567337365757318
2019-05-29,23014,23837,20723,23444,1067185,0.010822230845513703
2019-05-30,23371,23657,21904,21905,275440,-0.06564579423306605
