Date,Open,High,Low,Close,Volume,Change
2016-03-10,1020,1020,1020,1020,0,
2016-03-11,1170,1170,1170,1170,0,0.1470588235294117
2016-03-14,1345,1345,1345,1345,0,0.14957264957264949
2016-03-15,1345,1345,1345,1345,0,0.0
2016-03-16,1345,1345,1345,1345,0,0.0
2016-03-17,1345,1345,1345,1345,0,0.0
2016-03-18,1345,1345,1345,1345,0,0.0
2016-03-21,1545,1545,1545,1545,0,0.14869888475836435
2016-03-22,1545,1545,1545,1545,0,0.0
2016-03-23,1545,1545,1545,1545,0,0.0
2016-03-24,1600,1600,1600,1600,0,0.03559870550161803
2016-03-25,1840,1840,1840,1840,0,0.1499999999999999
2016-03-28,2115,2115,2115,2115,0,0.14945652173913038
2016-03-29,2115,2430,2115,2430,1180,0.14893617021276606
2016-03-30,2790,2790,2780,2790,1300,0.14814814814814814
2016-03-31,3100,3100,3100,3100,500,0.11111111111111116
2016-04-01,3100,3500,2650,3100,270,0.0
2016-04-04,2700,3100,2700,3100,1375,0.0
2016-04-05,2635,3300,2635,3300,533,0.06451612903225801
2016-04-06,3795,3795,3795,3795,1,0.1499999999999999
2016-04-07,4355,4355,4355,4355,1,0.14756258234519115
2016-04-08,5000,5000,5000,5000,1,0.14810562571756591
2016-04-11,4250,5000,4250,5000,310,0.0
2016-04-12,4650,4650,4650,4650,0,-0.06999999999999995
2016-04-14,4190,4190,4190,4190,0,-0.09892473118279566
2016-04-15,3565,3775,3565,3775,310,-0.09904534606205251
2016-04-18,3400,3400,3400,3400,0,-0.09933774834437081
2016-04-19,3200,3200,3200,3200,38,-0.05882352941176472
2016-04-20,2950,3680,2950,3680,1010,0.1499999999999999
2016-04-21,3600,3815,3600,3815,369,0.036684782608695565
2016-04-22,3710,3710,3710,3710,0,-0.02752293577981646
2016-04-25,3800,3800,3800,3800,100,0.0242587601078168
2016-04-26,3550,3550,3550,3550,0,-0.06578947368421051
2016-04-27,3390,3390,3390,3390,0,-0.04507042253521132
2016-04-28,2885,3055,2885,3055,800,-0.09882005899705015
2016-04-29,3100,3100,3100,3100,0,0.014729950900163713
2016-05-02,3000,3000,3000,3000,100,-0.032258064516129004
2016-05-03,2965,2965,2965,2965,0,-0.011666666666666714
2016-05-04,2800,2965,2800,2965,800,0.0
2016-05-09,2675,2675,2675,2675,0,-0.09780775716694767
2016-05-10,2650,2650,2650,2650,0,-0.009345794392523366
2016-05-11,2900,2900,2900,2900,0,0.09433962264150941
2016-05-12,2860,2860,2860,2860,0,-0.01379310344827589
2016-05-13,2860,2860,2860,2860,0,0.0
2016-05-16,2700,2860,2700,2860,510,0.0
2016-05-17,2860,2860,2860,2860,0,0.0
2016-05-18,2860,2860,2860,2860,0,0.0
2016-05-19,2860,2860,2860,2860,0,0.0
2016-05-20,2860,2860,2860,2860,0,0.0
2016-05-23,2860,2860,2860,2860,0,0.0
2016-05-24,2860,2860,2860,2860,0,0.0
2016-05-25,2860,2860,2860,2860,0,0.0
2016-05-26,2860,2860,2860,2860,0,0.0
2016-05-27,2860,2860,2860,2860,0,0.0
2016-05-30,2650,2650,2650,2650,0,-0.07342657342657344
2016-05-31,2700,2700,2700,2700,0,0.018867924528301883
2016-06-01,2700,2700,2700,2700,0,0.0
2016-06-02,2700,2700,2700,2700,500,0.0
2016-06-03,2650,2650,2650,2650,2,-0.01851851851851849
2016-06-07,2700,2700,2700,2700,0,0.018867924528301883
2016-06-08,2860,2860,2700,2860,411,0.059259259259259345
2016-06-09,2860,2860,2860,2860,0,0.0
2016-06-10,2860,2860,2700,2700,401,-0.05594405594405594
2016-06-13,2650,2650,2500,2500,800,-0.07407407407407407
2016-06-14,2600,2600,2600,2600,0,0.040000000000000036
2016-06-15,2600,2755,2600,2755,501,0.059615384615384626
2016-06-16,2650,2650,2650,2650,0,-0.038112522686025385
2016-06-17,2600,2755,2600,2755,510,0.039622641509434064
2016-06-20,2500,2500,2500,2500,500,-0.09255898366606174
