Date,Open,High,Low,Close,Volume,Change
2018-10-15,32150,39944,32150,32881,4132966,
2018-10-16,31955,32004,26889,28205,981428,-0.1422097868069706
2018-10-17,28448,29471,24502,27864,785516,-0.012090054954795204
2018-10-18,27522,28009,26304,26597,296238,-0.04547085845535459
2018-10-19,25817,28350,25379,26743,634859,0.005489340903109374
2018-10-22,28009,29422,26743,26743,616798,0.0
2018-10-23,26889,26889,24551,24649,221557,-0.07830086377743706
2018-10-24,24989,25233,22505,23139,273033,-0.06126009168728952
2018-10-25,22456,24210,22115,23187,215560,0.002074419810709216
2018-10-26,23576,23723,19923,21921,366092,-0.054599560098331
2018-10-29,21920,22505,20118,20946,143956,-0.04447789790611745
2018-10-30,20215,21287,19728,20459,117682,-0.02325026257996754
2018-10-31,20849,23430,20361,22749,357663,0.11193117943203479
2018-11-01,23382,23625,21823,21872,129073,-0.03855114510527935
2018-11-02,22261,23966,22066,23236,188037,0.0623628383321142
2018-11-05,23187,23284,22407,22749,46909,-0.0209588569461181
2018-11-06,23284,24258,23041,24064,138195,0.05780473866983171
2018-11-07,24112,25671,23723,25574,159302,0.06274933510638303
2018-11-08,25817,26645,25233,25282,104552,-0.011417846250097785
2018-11-09,24940,26499,24746,26013,124730,0.02891385175223471
2018-11-12,25476,25769,22894,23382,159993,-0.10114173682389571
2018-11-13,22700,23771,21579,23480,95064,0.004191258232828732
2018-11-14,23333,24551,22894,23382,57636,-0.004173764906303279
2018-11-15,22115,23235,21579,23090,246972,-0.012488238816183439
2018-11-16,22797,23430,22553,22603,60647,-0.021091381550454757
2018-11-19,22846,23041,22213,22457,54448,-0.006459319559350529
2018-11-20,22115,22505,20897,20898,71524,-0.06942156120586007
2018-11-21,20556,25233,20167,21434,482916,0.025648387405493356
2018-11-22,21190,21384,20459,20459,112955,-0.04548847625268271
2018-11-23,20459,20946,19972,20313,55187,-0.007136223666845853
2018-11-26,20118,20605,19972,20264,46358,-0.002412248313887644
2018-11-27,20702,21872,20313,21239,129986,0.04811488353730753
2018-11-28,21190,21628,20654,20654,62045,-0.027543669664296777
2018-11-29,20995,21287,20264,20264,47573,-0.018882540912172008
2018-11-30,20410,20556,20215,20362,21549,0.004836162652980702
2018-12-03,20702,21092,20556,20995,28716,0.031087319516746925
2018-12-04,20800,21531,20654,20995,36568,0.0
2018-12-05,20459,20897,20215,20264,50512,-0.034817813765182226
2018-12-06,20167,20556,18900,18901,52981,-0.06726213975523099
2018-12-07,19192,19533,18754,18998,30077,0.005132003597693169
2018-12-10,18900,20849,18851,19729,127078,0.03847773449836822
2018-12-11,19485,20751,18656,20070,110018,0.017284200922499826
2018-12-12,20605,23382,20605,21434,498131,0.06796213253612349
2018-12-13,21141,21384,20459,20459,89916,-0.04548847625268271
2018-12-14,20167,20313,19290,19388,99113,-0.05234859963830096
2018-12-17,19290,20751,18997,20605,112899,0.06277078605322872
2018-12-18,21872,26743,21872,26743,1761575,0.2978888619267168
2018-12-19,30396,33270,27473,29374,1878844,0.09838088471749606
2018-12-20,29325,31371,28789,30835,609853,0.049737863416627004
2018-12-21,30299,31224,29373,31176,308879,0.011058861683152177
2018-12-24,30396,31468,26792,26889,409797,-0.13750962278675904
2018-12-26,26402,28691,26012,27669,374005,0.029008144594443896
2018-12-27,28253,28496,26792,27961,200242,0.010553326827857923
2018-12-28,27863,30201,27717,29910,343242,0.06970423089302957
2019-01-02,30640,31565,29130,29910,454452,0.0
2019-01-03,30396,33709,30201,31274,765108,0.04560347709796053
2019-01-04,31663,32978,30201,32832,302062,0.049817739975698716
2019-01-07,33514,34586,31955,32686,496543,-0.004446881091617949
2019-01-08,32393,32588,30494,31274,340013,-0.04319892308633666
2019-01-09,31273,31760,30396,30397,165719,-0.02804246338811789
2019-01-10,30494,31517,29227,29228,265673,-0.038457742540382256
2019-01-11,30201,30494,28984,29325,146675,0.003318735459148847
2019-01-14,29276,31955,28984,31322,276249,0.06809889173060535
2019-01-15,29860,30542,29666,30056,430657,-0.04041887491220231
2019-01-16,30201,31663,30007,31079,379395,0.034036465264839055
2019-01-17,31468,38239,30104,38240,1773782,0.23041281894526855
2019-01-18,37801,42380,35901,38240,1481797,0.0
2019-01-21,38970,42818,37606,39555,791461,0.0343880753138075
2019-01-22,38726,38970,35462,35609,512908,-0.09975982808747319
2019-01-23,35365,36534,34634,35658,276215,0.0013760566149008113
2019-01-24,35657,36680,34829,35609,224237,-0.0013741656851197215
2019-01-25,35121,37752,34878,35755,501114,0.004100087056642998
2019-01-28,36583,36729,35365,35365,154646,-0.010907565375471995
2019-01-29,35609,37849,35316,36145,477666,0.02205570479287422
2019-01-30,36485,36485,34196,34391,215388,-0.04852676718771609
