Date,Open,High,Low,Close,Volume,Change
2019-12-27,3205,3205,3130,3130,901,
2019-12-30,3595,3595,3595,3595,1,0.14856230031948892
2020-01-02,3495,3495,3495,3495,70,-0.02781641168289295
2020-01-03,3395,3395,3395,3395,29,-0.028612303290414864
2020-01-06,3395,3395,3395,3395,100,0.0
2020-01-07,3400,3400,3400,3400,10,0.0014727540500736325
2020-01-08,3305,3305,3305,3305,400,-0.027941176470588247
2020-01-09,3210,3210,3210,3210,350,-0.02874432677760963
2020-01-10,3305,3305,3120,3120,510,-0.028037383177570097
2020-01-13,3120,3120,3120,3120,0,0.0
2020-01-14,3120,3120,3120,3120,0,0.0
2020-01-15,3120,3120,3120,3120,0,0.0
2020-01-16,3585,3585,3585,3585,50,0.14903846153846145
2020-01-17,3585,3585,3585,3585,0,0.0
2020-01-20,3485,3485,3485,3485,300,-0.02789400278940024
2020-01-21,3485,3485,3485,3485,0,0.0
2020-01-22,3485,3485,3485,3485,0,0.0
2020-01-23,3190,3600,3000,3600,501,0.03299856527977041
2020-01-28,3500,3710,3060,3710,489,0.030555555555555447
2020-01-29,3710,3710,3710,3710,1,0.0
2020-01-30,3605,3605,3605,3605,300,-0.028301886792452824
2020-01-31,3605,3700,3205,3700,10195,0.026352288488210807
2020-02-03,3950,3950,3200,3700,513,0.0
2020-02-04,3895,3895,3160,3160,4273,-0.1459459459459459
2020-02-05,3495,3500,3495,3500,274,0.10759493670886067
2020-02-06,3500,3700,3010,3500,8149,0.0
2020-02-07,3500,3500,3000,3345,5435,-0.04428571428571426
2020-02-10,3345,3345,3050,3050,910,-0.08819133034379667
2020-02-11,3250,3250,2755,2805,2672,-0.08032786885245902
2020-02-12,3100,3100,2940,3050,902,0.08734402852049916
2020-02-13,3050,3090,2905,3090,2695,0.013114754098360715
2020-02-14,3060,3090,3060,3085,1599,-0.0016181229773463146
2020-02-17,3075,3075,3000,3045,948,-0.012965964343598091
2020-02-18,3045,3045,3035,3035,110,-0.003284072249589487
2020-02-19,3035,3200,3000,3000,2407,-0.011532125205930832
2020-02-20,3100,3200,3100,3200,300,0.06666666666666665
2020-02-21,3300,3600,3300,3590,553,0.12187499999999996
2020-02-24,4120,4125,3595,4125,1326,0.14902506963788298
2020-02-25,4200,4320,3510,4300,2066,0.042424242424242475
2020-02-26,4700,4700,3910,3910,6218,-0.09069767441860466
2020-02-27,3805,4000,3800,3900,13095,-0.002557544757033292
2020-02-28,4100,4485,4000,4100,14339,0.05128205128205132
2020-03-02,4100,4200,3900,4150,7937,0.012195121951219523
2020-03-03,4150,4150,4140,4140,226,-0.002409638554216831
2020-03-04,4180,4180,3950,4130,1888,-0.0024154589371980784
2020-03-05,4130,4190,3950,4125,5942,-0.001210653753026647
2020-03-06,4150,4150,3910,4090,6568,-0.00848484848484854
2020-03-09,4040,4200,3950,4050,5293,-0.009779951100244544
2020-03-10,4000,4000,3810,3980,3429,-0.01728395061728394
2020-03-11,3980,3990,3415,3420,5429,-0.14070351758793975
2020-03-12,3845,3850,3520,3840,2960,0.12280701754385959
2020-03-13,3650,3650,3315,3580,7501,-0.06770833333333337
2020-03-16,3480,3480,3130,3130,3310,-0.12569832402234637
2020-03-17,3450,3450,3200,3390,6448,0.08306709265175716
2020-03-18,3380,3895,3200,3395,5504,0.001474926253687281
2020-03-19,3345,3350,3000,3150,1592,-0.07216494845360821
2020-03-20,3300,3300,3150,3200,602,0.015873015873015817
2020-03-23,3125,3140,3125,3140,218,-0.018750000000000044
2020-03-24,3100,3200,2850,3100,2919,-0.01273885350318471
2020-03-25,3150,3150,3000,3010,1654,-0.029032258064516148
2020-03-26,3100,3130,3000,3100,901,0.029900332225913706
2020-03-27,3100,3130,3005,3100,1581,0.0
2020-03-30,3100,3150,3100,3150,1507,0.016129032258064502
2020-03-31,3155,3300,3155,3250,1744,0.031746031746031855
2020-04-01,3300,3300,3250,3250,802,0.0
2020-04-02,3720,3720,3500,3700,6721,0.1384615384615384
2020-04-03,4100,4100,3500,3680,3609,-0.00540540540540535
2020-04-06,3700,3700,3700,3700,10,0.005434782608695565
2020-04-07,3800,3800,3530,3700,652,0.0
2020-04-08,3900,4000,3700,3830,1520,0.03513513513513522
2020-04-09,3900,3900,3580,3700,3661,-0.03394255874673624
2020-04-10,3695,3695,3575,3695,2183,-0.0013513513513513375
2020-04-13,3605,3680,3215,3600,7981,-0.025710419485791558
2020-04-14,3600,4140,3540,4140,6562,0.1499999999999999
2020-04-16,4300,4300,4100,4100,111,-0.009661835748792313
2020-04-17,4300,4300,3560,4230,2584,0.03170731707317076
2020-04-20,3635,3940,3635,3940,1611,-0.0685579196217494
2020-04-21,3995,3995,3615,3915,217,-0.006345177664974666
2020-04-22,4000,4000,3660,3970,1229,0.01404853128991057
2020-04-23,4000,4000,3700,3930,414,-0.010075566750629705
2020-04-24,4495,4495,3600,3890,1760,-0.010178117048346036
2020-04-27,4150,4150,3600,3610,10367,-0.07197943444730082
2020-04-28,3950,3950,3500,3700,306,0.024930747922437657
2020-04-29,4100,4100,3565,3785,1316,0.02297297297297307
2020-05-04,4000,4000,3700,3930,602,0.03830911492734468
2020-05-06,3990,3990,3600,3985,574,0.013994910941475869
2020-05-07,3995,3995,3700,3970,316,-0.0037641154328732496
2020-05-08,3985,3990,3700,3980,402,0.0025188916876575096
2020-05-11,3990,3990,3710,3950,1096,-0.007537688442211032
2020-05-12,3950,3950,3610,3940,13853,-0.0025316455696202667
2020-05-13,3900,3900,3700,3850,827,-0.022842639593908642
2020-05-14,3850,3850,3700,3700,190,-0.038961038961038974
2020-05-15,4250,4250,3650,3885,403,0.050000000000000044
2020-05-18,3800,3885,3800,3885,561,0.0
2020-05-19,3980,3980,3980,3980,1,0.024453024453024552
2020-05-20,3980,4300,3700,4300,82584,0.08040201005025116
2020-05-21,4300,4500,3905,4190,21203,-0.025581395348837188
2020-05-22,4095,4290,4000,4000,1990,-0.04534606205250602
2020-05-25,4190,4190,4190,4190,1,0.0475000000000001
2020-05-26,4190,4810,4130,4690,2247,0.11933174224343679
2020-05-27,4695,4695,4500,4690,242,0.0
2020-05-28,5000,5000,4690,4690,1136,0.0
2020-05-29,5000,5000,5000,5000,1,0.06609808102345416
2020-06-01,5010,5010,4995,4995,4923,-0.0010000000000000009
2020-06-02,4995,4995,4990,4995,1141,0.0
2020-06-03,4300,4980,4300,4980,2,-0.0030030030030030463
2020-06-04,4995,5000,4885,5000,4921,0.004016064257028162
2020-06-05,5000,5000,5000,5000,2,0.0
2020-06-08,5000,5010,5000,5000,203,0.0
2020-06-09,5500,5500,4995,4995,102,-0.0010000000000000009
2020-06-10,4995,5740,4500,5650,57,0.13113113113113117
2020-06-11,4810,6480,4810,6450,1008,0.1415929203539823
2020-06-12,6000,6300,5640,6000,6142,-0.06976744186046513
2020-06-15,5600,6100,5600,5990,13069,-0.0016666666666667052
2020-06-16,6500,6500,5230,5840,2076,-0.025041736227045086
2020-06-17,5700,5700,5700,5700,290,-0.023972602739726012
2020-06-18,5900,5900,5600,5800,150,0.01754385964912286
2020-06-19,6000,6000,5510,5990,7,0.03275862068965507
2020-06-22,5510,6000,5510,5890,86,-0.016694490818030094
2020-06-23,6770,6770,5300,5990,28,0.01697792869269943
2020-06-24,6000,6000,5400,6000,3503,0.0016694490818029983
2020-06-25,5400,5900,5400,5900,431,-0.01666666666666672
2020-06-26,5400,5900,5360,5400,636,-0.0847457627118644
2020-06-29,5750,5750,5210,5210,14,-0.03518518518518521
2020-06-30,5980,5980,5010,5700,3,0.09404990403071012
2020-07-01,5600,5600,5600,5600,1,-0.01754385964912286
2020-07-02,5300,5300,5300,5300,199,-0.0535714285714286
2020-07-03,5700,5700,5700,5700,1,0.07547169811320753
2020-07-06,5600,5600,5600,5600,1,-0.01754385964912286
2020-07-07,6000,6000,5300,5300,109,-0.0535714285714286
2020-07-08,5500,5500,5210,5300,412,0.0
2020-07-09,5450,5450,5200,5400,21,0.018867924528301883
2020-07-10,5900,5900,5400,5400,775,0.0
2020-07-13,5400,5400,5300,5300,187,-0.01851851851851849
2020-07-14,5400,5400,5300,5300,765,0.0
2020-07-15,6000,6000,5500,5500,3,0.037735849056603765
2020-07-16,5300,5300,5260,5260,7090,-0.043636363636363584
2020-07-17,5260,5700,5260,5290,5748,0.005703422053231932
2020-07-20,5290,5800,5290,5800,1169,0.0964083175803403
2020-07-21,5500,5500,5200,5400,3834,-0.06896551724137934
2020-07-22,5390,5400,5020,5200,3583,-0.03703703703703709
2020-07-23,5200,5230,5000,5000,2013,-0.038461538461538436
2020-07-24,5000,5150,5000,5000,5215,0.0
